DATE,C_COMPILER,C_TUTORIAL,CSHARP_COMPILER,CSHARP_TUTORIAL,CPLUSPLUS_COMPILER,CPLUSPLUS_TUTORIAL,CALCULATORPLUS,CALENDARPLUS,COMPILERPLUS,CSS_TUTORIAL,DART_COMPILER,DART_TUTORIAL,GO_COMPILER,GO_TUTORIAL,HTML_TUTORIAL,JAVA_COMPILER,JAVA_TUTORIAL,JAVASCRIPT_COMPILER,JAVASCRIPT_TUTORIAL,KOTLIN_COMPILER,KOTLIN_TUTORIAL,MOTIVATIONPLUS,NOTESPLUS,PHP_COMPILER,PHP_TUTORIAL,PYTHON_COMPILER,PYTHON_TUTORIAL,RUBY_COMPILER,RUBY_TUTORIAL,SUCCESS_STORIES,SWIFT_COMPILER,SWIFT_TUTORIAL,TASKSPLUS,TIMEPLUS,TRAVEL_DIARIES,XML_TUTORIAL
2021-05-28,20,1,2,0,2,0,1,3,3,0,0,0,1,0,0,1,0,0,1,0,0,5,5,0,0,0,0,0,0,2,0,0,3,2,1,0
2021-05-29,16,40,0,0,0,5,0,28,0,0,0,0,0,0,0,0,4,1,0,1,10,20,10,0,1,0,0,0,0,1,0,0,0,0,0,0
2021-05-30,6,25,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4,0,1,0,0,0,1,1,0,5,1,1,6,1
2021-05-31,4,20,0,0,0,29,2,2,1,0,0,0,0,0,0,0,14,0,0,13,0,4,2,0,0,2,0,0,0,4,0,0,14,2,0,0
2021-06-01,8,10,1,0,6,0,12,1,8,0,4,0,0,0,0,6,4,0,0,0,0,8,1,0,15,0,19,0,0,5,0,0,9,1,1,0
2021-06-02,19,9,0,0,5,10,1,0,1,0,0,39,0,3,0,0,6,2,0,0,0,5,0,0,9,0,3,0,0,1,0,0,1,0,1,0
2021-06-03,2,11,2,0,8,7,5,6,8,8,0,0,0,0,9,2,0,0,7,0,0,2,0,0,0,6,8,0,0,1,0,0,1,13,0,2
2021-06-04,9,12,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,16,0,0,32,1,1,0,0,10,0,0,1,2,9,1
2021-06-05,12,9,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,37,0,0,0,0,0,0,0,14,0,0,0
2021-06-06,2,4,6,6,2,2,1,0,4,4,6,5,13,5,7,6,7,12,6,0,0,1,0,5,22,5,7,3,6,1,6,10,0,0,0,5
2021-06-07,28,28,6,8,7,4,3,4,7,3,3,31,5,3,3,4,4,10,10,0,0,22,1,3,14,6,8,3,14,0,5,7,16,0,0,19
2021-06-08,14,24,0,6,0,13,13,14,0,17,0,37,0,0,19,13,6,0,1,0,12,12,0,3,32,5,27,3,29,0,2,3,24,1,0,16
2021-06-09,8,9,1,1,0,11,20,16,1,0,0,3,0,2,0,1,21,0,1,0,1,58,1,0,24,6,6,0,0,15,7,0,32,0,0,1
2021-06-10,5,24,0,0,0,1,1,1,14,0,0,2,0,2,1,1,9,1,5,0,0,10,3,3,0,10,4,0,0,1,1,17,9,0,0,1
2021-06-11,4,20,21,20,21,24,21,0,1,0,0,2,0,4,0,8,8,0,11,0,0,7,3,13,71,61,1,0,0,5,0,2,10,1,0,0
2021-06-12,3,0,27,27,4,6,9,0,0,0,14,0,0,0,0,6,19,0,1,1,0,3,1,39,43,7,0,0,0,4,0,0,1,1,0,0
2021-06-13,5,10,2,1,0,0,38,8,8,0,1,0,7,27,1,28,46,5,8,3,0,0,0,1,7,1,0,0,0,4,0,0,11,5,5,0
2021-06-14,3,3,7,0,1,0,11,7,6,0,1,0,0,1,0,20,17,9,6,0,0,1,0,2,5,2,0,0,0,54,0,0,6,0,0,0
2021-06-15,4,6,0,0,6,11,7,4,4,18,0,11,16,0,13,3,7,5,7,1,0,3,1,0,1,2,0,0,0,28,0,51,1,1,0,0
2021-06-16,5,7,1,0,7,4,7,3,13,0,0,0,1,10,135,2,9,17,6,2,0,0,1,0,0,0,0,0,0,3,0,0,1,0,1,13
2021-06-17,0,1,0,0,0,5,12,6,82,0,0,1,2,2,0,1,8,17,9,0,0,0,0,0,0,1,0,0,0,7,11,0,11,1,0,2
2021-06-18,3,1,1,0,11,1,14,3,11,0,0,0,0,9,0,1,4,44,66,2,0,1,0,0,0,1,1,0,0,0,1,1,0,0,12,1
2021-06-19,0,8,9,0,0,0,1,7,12,0,0,0,0,3,0,0,0,6,22,1,0,0,0,0,1,1,0,0,0,1,0,0,2,0,0,0
2021-06-20,0,2,9,12,7,6,2,45,13,6,0,0,1,2,0,0,0,2,6,0,0,0,7,39,117,9,8,0,1,0,0,0,1,1,1,0
2021-06-21,2,0,1,40,2,1,0,2,10,12,8,1,9,4,0,1,1,8,7,0,1,5,0,20,3,18,0,0,0,0,0,0,1,9,32,1
2021-06-22,1,8,6,104,2,0,5,40,12,0,1,11,8,18,1,13,13,6,9,0,0,2,2,0,1,1,1,0,0,5,1,0,4,10,6,1
2021-06-23,3,4,23,1,2,0,0,4,10,0,5,8,7,20,0,1,17,11,8,0,0,2,1,11,2,0,0,0,0,1,3,0,4,12,12,1
2021-06-24,5,1,2,3,18,13,1,0,3,5,4,1,2,6,0,4,6,3,11,0,0,4,6,3,1,3,13,3,8,2,64,126,6,15,2,4
2021-06-25,1,1,1,0,2,4,2,0,1,0,0,1,0,0,0,1,2,0,1,0,0,2,13,1,1,17,13,0,91,1,1,8,0,0,2,1
2021-06-26,2,2,1,0,5,3,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,9,7,0,1,2,0,1,1,0,0,0
2021-06-27,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,201,166,0,0,137,2,0,0,0
2021-06-30,14,9,0,0,2,2,7,1,3,0,0,2,0,0,1,20,5,0,3,1,0,71,0,6,10,1,3,9,4,4,4,7,4,1,1,0
2021-07-01,0,8,7,17,0,3,2,2,0,0,0,0,0,0,53,5,3,0,1,0,0,26,1,3,6,1,294,4,5,0,9,3,2,0,0,0
2021-07-02,1,1,2,0,0,225,0,1,0,0,8,0,0,1,10,5,0,0,1,8,0,11,0,0,0,1,3,3,1,1,3,2,2,0,0,11
2021-07-03,0,1,0,0,72,3,2,0,2,0,1,0,1,0,0,0,33,0,0,2,0,2,16,0,0,0,3,0,1,0,0,4,51,0,0,2
2021-07-04,2,0,0,0,2,8,0,1,0,0,0,0,0,0,87,0,1,1,0,0,0,2,9,0,0,0,0,0,0,0,0,0,41,0,0,2
2021-07-06,0,0,0,0,0,4,9,0,1,0,115,0,0,0,0,4,2,0,0,114,0,4,1,0,0,1,1,0,0,4,1,1,30,1,0,2
2021-07-07,1,0,0,0,0,4,4,0,1,0,10,0,1,0,0,1,18,0,0,10,0,1,0,0,1,0,0,0,0,4,0,0,9,1,0,0
2021-07-08,1,0,0,0,0,2,0,4,15,0,2,1,0,0,0,0,1,9,5,1,0,3,1,0,0,2,0,0,1,11,0,0,6,0,5,2
2021-07-09,11,2,4,9,1,5,3,4,5,0,0,0,1,2,0,1,0,3,75,1,1,14,0,0,0,0,1,0,0,5,0,1,13,0,0,3
2021-07-11,2,0,5,1,0,3,5,5,18,0,0,0,1,0,0,1,1,3,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2021-07-12,4,7,2,0,4,3,0,3,0,0,1,0,1,1,0,22,11,1,2,0,0,17,3,0,1,1,12,0,1,9,1,0,4,12,0,0
2021-07-13,1,0,2,0,0,2,0,0,1,0,0,0,4,70,0,2,0,0,2,0,0,31,0,0,1,0,2,0,0,7,0,1,4,14,5,0
2021-07-14,0,1,3,0,0,11,0,3,5,0,0,0,86,5,0,3,0,1,3,0,0,4,0,0,0,0,0,0,0,0,0,0,2,4,3,0
2021-07-15,0,9,1,0,0,2,0,0,1,0,0,0,73,2,1,10,7,0,0,0,0,4,1,0,0,0,0,0,0,6,0,0,0,5,1,0
2021-07-17,1,0,2,95,7,2,8,2,0,0,0,0,0,0,0,0,8,17,16,0,0,10,0,0,0,8,1,0,0,0,0,0,0,0,0,0
2021-07-18,2,0,0,7,5,3,1,1,0,0,1,0,0,0,1,2,0,7,0,0,0,2,0,0,0,2,77,1,0,0,0,0,2,0,1,0
2021-07-19,0,0,4,1,3,88,0,10,10,12,0,11,0,1,0,0,0,7,7,0,0,5,0,0,6,6,12,0,0,0,1,1,1,0,0,1
2021-07-20,11,6,1,0,10,4,6,2,2,12,1,2,0,0,146,0,0,0,0,1,38,1,1,0,0,4,76,0,0,1,0,0,1,0,1,0
2021-07-21,2,0,1,0,15,101,1,0,0,10,0,0,0,1,28,1,0,1,1,0,0,1,0,0,1,2,3,0,1,0,0,0,3,1,0,0
2021-07-22,0,0,2,2,20,78,2,6,4,4,1,5,8,4,10,3,2,2,3,3,9,3,2,1,0,19,27,4,2,2,1,2,3,4,2,0
2021-07-23,4,0,1,9,18,38,1,18,0,1,8,0,3,9,27,1,29,0,2,0,7,0,0,0,3,9,7,0,0,0,0,0,0,0,0,0
2021-07-27,2,4,4,7,1,5,5,1,2,0,0,1,2,4,82,0,7,1,22,1,0,5,1,1,0,1,5,0,0,0,0,1,0,0,1,0
2021-07-29,5,5,1,0,0,1,2,0,0,0,1,0,0,0,3,0,12,0,1,2,0,9,1,0,0,1,0,2,0,16,0,1,1,0,1,0
2021-07-30,2,8,4,0,3,0,8,1,2,2,0,1,0,1,5,1,9,3,2,1,0,1,1,1,0,2,0,0,0,2,0,0,2,1,0,21
2021-08-02,3,0,0,0,0,2,0,0,0,0,1,0,0,0,10,0,0,0,0,3,21,1,0,0,0,2,0,0,0,0,0,2,3,0,0,0
2021-08-03,4,1,1,0,1,1,0,1,0,1,0,4,1,1,2,0,11,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
2021-08-04,2,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0
2021-08-05,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,12,9,1,0,0,0,0,0,1,1,0,1,0
2021-08-08,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,11,0,0,2,0,0,0,0,4,0,0,1,0,0,0
2021-08-09,2,2,0,1,0,2,6,0,2,0,0,0,1,0,2,1,4,1,0,0,0,2,0,0,0,4,1,0,0,1,4,5,0,0,0,0
2021-08-12,3,2,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,2,0
2021-08-14,4,1,0,0,10,4,1,1,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
2021-08-21,3,0,2,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
2021-08-23,7,4,1,0,0,1,0,0,9,2,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0
2021-08-24,7,3,0,0,1,0,0,0,10,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,1,0,0,1,0,0,1,2,1,0,0,0
2021-08-25,8,7,0,0,0,1,0,2,3,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,1,2,0,0,0,0,0,0,1,0,0,0
2021-08-26,4,2,1,0,6,2,9,6,1,0,0,0,0,1,0,0,1,1,1,3,0,1,1,0,2,1,3,0,0,0,2,5,4,0,1,0
2021-08-29,0,9,0,0,0,1,0,0,0,0,0,0,4,2,1,1,4,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,13,0,0,0
2021-09-05,6,10,5,12,3,3,3,1,0,0,0,0,0,1,1,4,6,0,6,1,0,0,7,0,0,0,0,0,0,1,2,1,0,0,0,0
2021-09-06,15,4,1,0,8,0,4,2,3,0,0,0,0,0,2,6,9,4,24,0,0,2,2,0,0,2,16,0,0,0,1,1,0,0,0,0
2021-09-10,3,1,0,24,8,8,0,8,0,0,0,17,1,2,1,0,6,0,6,0,0,2,0,0,0,0,1,0,0,0,0,0,3,0,9,0
2021-09-15,0,0,1,4,0,0,0,1,0,11,0,0,0,0,0,3,4,0,1,0,0,1,1,0,0,2,1,0,0,1,0,1,2,0,0,0
2021-09-16,7,5,1,2,0,1,13,2,10,6,0,0,4,22,0,2,3,1,1,0,0,30,0,0,0,8,18,0,0,6,5,7,10,16,1,0
2021-09-17,1,3,1,16,1,1,2,0,3,13,0,0,10,1,0,6,6,1,1,0,0,2,0,1,1,6,13,0,0,0,1,1,1,21,1,0
2021-09-19,1,0,2,2,2,2,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,1,3,0,0
2021-09-20,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,14,0,0
2021-04-20,2,4,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,2,1,0,28,6,0,0,0,1,0,0,0,0,0,48,1,0,0
2021-04-21,11,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,2,0,1,0,0,0,0,0,0,0,4,0,0,0
2021-04-22,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-04-23,2,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,1,0,0,4,0,1,0
2021-04-24,8,9,1,0,1,0,9,1,1,0,0,0,0,0,0,6,3,0,0,0,0,11,1,0,0,1,1,0,0,5,0,0,10,1,0,0
2021-04-25,1,1,1,0,1,2,10,0,0,0,0,0,0,0,0,2,4,1,0,0,0,4,1,0,0,0,0,0,0,4,0,2,12,0,0,0
2021-04-26,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,3,0,1,1,0,0,1,0,1,0,2,0,0,2,0,0,2,0,0,0
2021-04-27,3,5,0,0,1,4,1,1,0,3,0,0,0,0,0,3,5,0,1,0,0,1,0,0,0,0,3,0,0,2,0,0,8,0,0,0
2021-04-28,2,2,0,0,0,0,3,1,1,1,0,0,0,1,1,1,4,1,2,1,0,1,1,0,1,0,2,0,1,3,0,0,3,0,0,0
2021-04-29,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,4,0,0,0,0,0,4,0,0,2,3,0,0,1,0,0,0,2,0,0
2021-04-30,0,2,1,1,0,0,1,1,1,0,1,0,0,0,0,5,2,0,0,0,0,2,0,0,0,0,3,0,0,3,0,0,0,0,0,0
2021-05-01,0,0,1,0,1,0,0,2,1,0,1,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-02,2,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
2021-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0
2021-05-07,0,0,0,0,0,0,3,1,1,0,1,0,0,1,0,1,1,2,0,1,0,0,1,0,2,1,1,0,0,2,0,0,1,0,0,0
2021-05-12,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2021-05-14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,1,2,0,0,0
2021-05-17,38,19,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0
2021-05-19,17,19,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,24,0,0,0,0,0,0,0,1,0,0,13,0,0,0
2021-05-21,1,0,3,0,1,0,1,0,0,0,1,0,0,0,0,4,30,1,0,0,0,8,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2021-05-23,5,0,0,0,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,5,0,0,1,0,0,0
2021-05-26,2,1,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0
2021-06-28,1,0,0,0,4,163,3,0,0,0,0,0,0,0,0,11,10,0,0,0,0,1,5,0,0,2,6,7,18,4,24,5,2,0,0,0
2021-08-01,9,2,5,4,1,1,1,1,2,2,0,2,0,1,9,4,9,5,4,0,0,6,0,2,3,4,1,1,1,0,1,0,0,0,0,1
2021-08-10,1,0,1,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-27,0,0,1,0,2,2,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,2,0,0,1,2,0,1,0
2021-08-28,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,2,0,0,0,7,4,1,2,0,0
2021-08-31,5,4,1,0,0,1,2,0,21,0,0,0,2,6,18,13,0,2,0,1,0,10,0,0,0,0,0,0,0,0,0,1,5,0,0,1
2021-09-01,0,0,13,13,0,0,0,0,9,9,0,0,0,1,6,13,0,0,0,0,0,3,0,0,0,1,7,0,0,0,0,0,1,10,0,0
2021-09-11,1,0,2,59,1,0,0,3,0,0,0,0,2,0,0,2,1,1,3,0,0,19,0,1,1,1,0,0,0,2,0,1,1,1,0,0
2021-09-12,3,8,0,48,0,11,4,6,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0
2021-06-29,0,0,0,0,83,4,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,1,0,1,0,42,12,5,0,4,17,0,0,0,1
2021-07-05,4,0,2,1,2,25,6,1,0,0,158,0,0,0,0,5,1,0,0,191,0,0,1,0,0,0,0,0,0,7,0,0,21,0,0,0
2021-07-10,2,0,4,1,0,1,11,20,12,0,1,0,0,0,0,2,1,58,18,0,0,2,12,0,0,0,0,0,1,0,0,0,2,0,0,0
2021-07-16,5,0,2,0,11,8,0,10,26,0,0,0,0,3,0,2,11,4,1,1,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0
2021-07-24,1,0,0,7,11,5,6,0,0,5,0,0,2,1,109,1,12,3,5,0,1,1,0,0,1,3,1,0,0,0,13,11,1,0,0,1
2021-07-25,0,0,0,90,0,4,0,1,1,0,0,0,2,0,108,0,5,9,0,0,1,1,6,0,0,4,8,0,0,0,0,1,2,0,0,0
2021-07-26,0,1,1,1,1,85,1,1,0,0,0,4,6,2,5,1,6,2,11,0,7,7,0,0,1,4,4,0,1,0,0,1,1,1,0,0
2021-07-28,1,0,1,1,1,1,0,2,0,0,0,0,0,3,20,1,12,0,2,0,1,10,0,0,0,1,2,0,0,0,0,0,0,0,0,0
2021-07-31,3,2,3,1,2,0,0,2,1,3,0,0,0,0,3,1,4,2,0,1,0,2,1,1,1,2,0,0,1,0,0,1,4,0,0,0
2021-08-06,2,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,5,7,9,1,1,7,6,0,0,1,0,0,0,0
2021-08-07,8,7,1,3,0,5,0,2,0,0,0,0,0,0,1,1,2,1,0,0,0,12,0,9,11,5,3,11,8,0,0,1,0,1,0,0
2021-08-11,7,5,6,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0
2021-08-13,0,0,0,0,0,4,3,1,0,1,0,0,0,0,0,4,4,1,2,0,0,2,0,0,0,2,0,0,0,0,0,2,1,0,0,0
2021-08-15,1,0,1,1,0,1,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2021-08-16,245,0,1,0,1,0,1,0,0,2,1,0,0,0,2,3,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1
2021-08-17,40,0,1,0,0,2,0,0,2,0,0,0,0,2,2,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0
2021-08-18,24,2,0,2,2,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,1,0,0,1,0,0,2,1,0,0,1,0,0,0,0
2021-08-19,28,0,1,1,1,0,0,0,1,0,0,0,0,1,2,0,0,1,1,2,2,2,0,1,0,2,0,1,0,1,0,0,1,0,0,0
2021-08-20,4,3,1,0,0,2,3,2,0,0,0,0,0,0,2,0,2,0,2,0,0,1,0,0,6,1,0,0,3,0,0,4,2,0,0,0
2021-08-22,3,0,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,3,0,1,0,0,0,0,1,2,1,0,0
2021-08-30,9,9,1,0,0,0,0,0,32,1,0,0,5,4,0,2,0,0,0,0,0,3,0,1,0,0,0,2,1,0,0,0,2,0,0,0
2021-09-02,1,0,2,7,0,1,12,0,2,5,0,0,0,0,2,5,0,0,0,0,0,1,0,0,0,1,1,0,0,0,5,10,1,7,1,0
2021-09-03,1,0,0,4,0,0,10,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,17,16,0,7,0,0
2021-09-07,6,0,0,0,1,2,0,0,1,0,0,0,14,18,2,0,0,8,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,1,0,0
2021-09-08,1,4,0,0,0,2,9,0,0,0,0,0,7,8,0,1,0,8,0,0,0,8,10,0,0,2,0,0,0,1,0,0,4,0,0,0
2021-09-09,0,0,1,22,5,16,3,1,2,7,1,0,2,2,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
2021-09-14,4,0,1,9,0,1,0,0,0,28,0,0,0,0,0,7,8,0,1,0,0,0,0,0,0,3,1,0,0,0,2,1,0,0,0,1
2021-09-18,5,8,0,1,0,1,0,0,4,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,1,0,3,0,0
2021-09-21,2,0,1,3,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,2,2,0,0,0,0,0,0,2,0,0
2021-09-04,18,6,4,1,0,0,6,0,3,1,0,5,0,1,0,4,4,0,3,0,4,1,4,0,0,2,4,0,0,1,3,6,1,4,0,3
2021-09-13,30,0,1,14,2,1,2,1,0,27,0,0,2,0,23,0,0,0,9,1,0,9,0,0,1,1,1,0,0,0,1,3,0,0,0,0
2021-09-22,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,9,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2021-03-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-17,54,9,2,1,2,3,1,0,7,0,0,0,0,3,0,0,14,0,1,0,0,4,3,0,2,0,1,1,2,1,0,3,1,1,4,0
2021-03-19,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2021-03-21,8,63,0,0,10,0,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,55,0,0,0,0,1,0,0,0,0,0,97,1,0,0
2021-03-23,6,5,81,1,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,5,0,0,0,6,11,2,0,23,0,2,1,0,0,0
2021-03-24,46,42,88,1,0,1,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,60,0,0,0,2,1,0,0,2,0,5,25,0,0,0
2021-03-25,2,1,65,0,0,0,55,0,0,0,0,0,0,1,0,12,28,17,21,0,0,6,0,0,1,0,2,1,0,32,0,2,5,0,0,0
2021-03-26,7,20,6,0,0,0,16,0,8,0,3,0,0,0,0,4,1,0,1,0,0,4,0,0,0,0,3,0,0,4,0,0,1,0,0,0
2021-03-28,3,2,0,0,0,1,8,0,0,0,0,0,0,0,0,6,4,4,10,10,0,22,0,0,0,2,2,0,0,5,0,0,2,0,0,0
2021-03-29,1,0,0,0,0,0,6,0,0,0,4,0,10,7,0,2,9,0,2,6,0,19,0,0,7,0,0,0,0,5,0,0,13,0,0,0
2021-04-04,13,9,36,0,1,1,1,2,4,0,0,33,0,0,0,12,4,4,1,1,2,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0
2021-04-06,2,2,38,1,1,0,1,0,0,0,0,0,0,2,0,1,2,1,1,0,0,11,0,0,0,0,1,0,0,3,0,0,5,17,3,0
2021-04-09,10,8,56,3,70,77,8,6,1,0,0,0,4,6,0,6,0,1,0,0,0,3,78,0,2,50,74,0,0,3,0,0,4,8,4,0
